contractid,planid,ssa,fips,state,county,enrollment
H0111,1,11030,13009,GA,Baldwin,42
H0111,1,11050,13013,GA,Barrow,64
H0111,1,11060,13015,GA,Bartow,71
H0111,1,11070,13017,GA,Ben Hill,22
H0111,1,11080,13019,GA,Berrien,30
H0111,1,11090,13021,GA,Bibb,134
H0111,1,11100,13023,GA,Bleckley,26
H0111,1,11110,13025,GA,Brantley,42
H0111,1,11120,13027,GA,Brooks,12
H0111,1,11130,13029,GA,Bryan,70
H0111,1,11150,13033,GA,Burke,49
H0111,1,11160,13035,GA,Butts,46
H0111,1,11170,13039,GA,Camden,101
H0111,1,11190,13045,GA,Carroll,123
H0111,1,11200,13047,GA,Catoosa,12
H0111,1,11210,13049,GA,Charlton,13
H0111,1,11220,13051,GA,Chatham,503
H0111,1,11240,13055,GA,Chattooga,13
H0111,1,11250,13057,GA,Cherokee,199
H0111,1,11260,13059,GA,Clarke,73
H0111,1,11280,13063,GA,Clayton,146
H0111,1,11290,13067,GA,Cobb,735
H0111,1,11291,13069,GA,Coffee,29
H0111,1,11300,13071,GA,Colquitt,35
H0111,1,11310,13073,GA,Columbia,217
H0111,1,11311,13075,GA,Cook,22
H0111,1,11320,13077,GA,Coweta,92
H0111,1,11330,13079,GA,Crawford,15
H0111,1,11340,13081,GA,Crisp,19
H0111,1,11350,13085,GA,Dawson,13
H0111,1,11360,13087,GA,Decatur,13
H0111,1,11370,13089,GA,DeKalb,424
H0111,1,11380,13091,GA,Dodge,26
H0111,1,11381,13093,GA,Dooly,14
H0111,1,11400,13097,GA,Douglas,162
H0111,1,11421,13103,GA,Effingham,118
H0111,1,11430,13105,GA,Elbert,13
H0111,1,11440,13107,GA,Emanuel,25
H0111,1,11441,13109,GA,Evans,12
H0111,1,11450,13111,GA,Fannin,27
H0111,1,11451,13113,GA,Fayette,75
H0111,1,11460,13115,GA,Floyd,38
H0111,1,11461,13117,GA,Forsyth,88
H0111,1,11462,13119,GA,Franklin,19
H0111,1,11470,13121,GA,Fulton,379
H0111,1,11471,13123,GA,Gilmer,21
H0111,1,11490,13127,GA,Glynn,232
H0111,1,11500,13129,GA,Gordon,13
H0111,1,11510,13131,GA,Grady,33
H0111,1,11520,13133,GA,Greene,22
H0111,1,11530,13135,GA,Gwinnett,396
H0111,1,11540,13137,GA,Habersham,16
H0111,1,11550,13139,GA,Hall,35
H0111,1,11570,13143,GA,Haralson,49
H0111,1,11580,13145,GA,Harris,59
H0111,1,11581,13147,GA,Hart,26
H0111,1,11590,13149,GA,Heard,15
H0111,1,11591,13151,GA,Henry,131
H0111,1,11600,13153,GA,Houston,110
H0111,1,11610,13157,GA,Jackson,41
H0111,1,11611,13159,GA,Jasper,21
H0111,1,11612,13161,GA,Jeff Davis,17
H0111,1,11620,13163,GA,Jefferson,32
H0111,1,11630,13165,GA,Jenkins,17
H0111,1,11650,13169,GA,Jones,19
H0111,1,11651,13171,GA,Lamar,22
H0111,1,11660,13175,GA,Laurens,19
H0111,1,11680,13179,GA,Liberty,86
H0111,1,11690,13181,GA,Lincoln,15
H0111,1,11700,13185,GA,Lowndes,286
H0111,1,11701,13187,GA,Lumpkin,15
H0111,1,11702,13189,GA,McDuffie,51
H0111,1,11703,13191,GA,McIntosh,63
H0111,1,11710,13193,GA,Macon,12
H0111,1,11720,13195,GA,Madison,21
H0111,1,11730,13197,GA,Marion,12
H0111,1,11740,13199,GA,Meriwether,37
H0111,1,11750,13205,GA,Mitchell,33
H0111,1,11760,13207,GA,Monroe,43
H0111,1,11771,13211,GA,Morgan,15
H0111,1,11772,13213,GA,Murray,15
H0111,1,11780,13215,GA,Muscogee,280
H0111,1,11790,13217,GA,Newton,122
H0111,1,11800,13219,GA,Oconee,39
H0111,1,11810,13223,GA,Paulding,274
H0111,1,11811,13225,GA,Peach,34
H0111,1,11812,13227,GA,Pickens,43
H0111,1,11820,13229,GA,Pierce,15
H0111,1,11821,13231,GA,Pike,23
H0111,1,11830,13233,GA,Polk,42
H0111,1,11831,13235,GA,Pulaski,15
H0111,1,11832,13237,GA,Putnam,23
H0111,1,11834,13241,GA,Rabun,14
H0111,1,11840,13245,GA,Richmond,447
H0111,1,11841,13247,GA,Rockdale,111
H0111,1,11850,13251,GA,Screven,23
H0111,1,11860,13255,GA,Spalding,78
H0111,1,11861,13257,GA,Stephens,12
H0111,1,11862,13259,GA,Stewart,16
H0111,1,11880,13263,GA,Talbot,21
H0111,1,11882,13267,GA,Tattnall,16
H0111,1,11884,13271,GA,Telfair,12
H0111,1,11890,13275,GA,Thomas,49
H0111,1,11900,13277,GA,Tift,35
H0111,1,11901,13279,GA,Toombs,23
H0111,1,11910,13285,GA,Troup,88
H0111,1,11920,13293,GA,Upson,19
H0111,1,11921,13295,GA,Walker,26
H0111,1,11930,13297,GA,Walton,68
H0111,1,11940,13299,GA,Ware,37
H0111,1,11950,13303,GA,Washington,23
H0111,1,11960,13305,GA,Wayne,23
H0111,1,11963,13311,GA,White,11
H0111,1,11970,13313,GA,Whitfield,37
H0111,1,11972,13317,GA,Wilkes,19
H0111,1,11973,13319,GA,Wilkinson,11
H0111,1,11980,13321,GA,Worth,20
H0111,2,11220,13051,GA,Chatham,18
H0111,2,11250,13057,GA,Cherokee,13
H0111,2,11290,13067,GA,Cobb,60
H0111,2,11310,13073,GA,Columbia,13
H0111,2,11370,13089,GA,DeKalb,26
H0111,2,11830,13233,GA,Polk,12
H0111,2,11840,13245,GA,Richmond,30
H0111,3,11250,13057,GA,Cherokee,12
H0111,3,11290,13067,GA,Cobb,29
H0111,3,11370,13089,GA,DeKalb,15
H0111,3,11530,13135,GA,Gwinnett,11
H0111,4,11030,13009,GA,Baldwin,22
H0111,4,11050,13013,GA,Barrow,13
H0111,4,11060,13015,GA,Bartow,23
H0111,4,11080,13019,GA,Berrien,11
H0111,4,11090,13021,GA,Bibb,61
H0111,4,11150,13033,GA,Burke,17
H0111,4,11160,13035,GA,Butts,11
H0111,4,11170,13039,GA,Camden,18
H0111,4,11190,13045,GA,Carroll,76
H0111,4,11220,13051,GA,Chatham,123
H0111,4,11250,13057,GA,Cherokee,27
H0111,4,11260,13059,GA,Clarke,29
H0111,4,11280,13063,GA,Clayton,107
H0111,4,11290,13067,GA,Cobb,133
H0111,4,11291,13069,GA,Coffee,19
H0111,4,11300,13071,GA,Colquitt,17
H0111,4,11310,13073,GA,Columbia,44
H0111,4,11320,13077,GA,Coweta,27
H0111,4,11340,13081,GA,Crisp,12
H0111,4,11370,13089,GA,DeKalb,235
H0111,4,11380,13091,GA,Dodge,13
H0111,4,11400,13097,GA,Douglas,47
H0111,4,11440,13107,GA,Emanuel,15
H0111,4,11451,13113,GA,Fayette,14
H0111,4,11461,13117,GA,Forsyth,19
H0111,4,11470,13121,GA,Fulton,382
H0111,4,11490,13127,GA,Glynn,55
H0111,4,11510,13131,GA,Grady,11
H0111,4,11530,13135,GA,Gwinnett,158
H0111,4,11550,13139,GA,Hall,25
H0111,4,11570,13143,GA,Haralson,16
H0111,4,11591,13151,GA,Henry,46
H0111,4,11600,13153,GA,Houston,28
H0111,4,11610,13157,GA,Jackson,11
H0111,4,11620,13163,GA,Jefferson,17
H0111,4,11680,13179,GA,Liberty,30
H0111,4,11700,13185,GA,Lowndes,281
H0111,4,11702,13189,GA,McDuffie,13
H0111,4,11703,13191,GA,McIntosh,13
H0111,4,11720,13195,GA,Madison,12
H0111,4,11740,13199,GA,Meriwether,14
H0111,4,11750,13205,GA,Mitchell,14
H0111,4,11760,13207,GA,Monroe,11
H0111,4,11772,13213,GA,Murray,12
H0111,4,11780,13215,GA,Muscogee,161
H0111,4,11790,13217,GA,Newton,45
H0111,4,11810,13223,GA,Paulding,40
H0111,4,11820,13229,GA,Pierce,13
H0111,4,11830,13233,GA,Polk,24
H0111,4,11840,13245,GA,Richmond,143
H0111,4,11841,13247,GA,Rockdale,30
H0111,4,11860,13255,GA,Spalding,26
H0111,4,11890,13275,GA,Thomas,16
H0111,4,11900,13277,GA,Tift,17
H0111,4,11910,13285,GA,Troup,22
H0111,4,11920,13293,GA,Upson,16
H0111,4,11921,13295,GA,Walker,25
H0111,4,11930,13297,GA,Walton,27
H0111,4,11940,13299,GA,Ware,18
H0111,4,11950,13303,GA,Washington,12
H0111,4,11970,13313,GA,Whitfield,31
H0111,4,11980,13321,GA,Worth,12
H0439,2,11040,13011,GA,Banks,66
H0439,2,11050,13013,GA,Barrow,100
H0439,2,11060,13015,GA,Bartow,130
H0439,2,11160,13035,GA,Butts,22
H0439,2,11190,13045,GA,Carroll,13
H0439,2,11240,13055,GA,Chattooga,96
H0439,2,11250,13057,GA,Cherokee,70
H0439,2,11260,13059,GA,Clarke,133
H0439,2,11280,13063,GA,Clayton,156
H0439,2,11290,13067,GA,Cobb,274
H0439,2,11320,13077,GA,Coweta,50
H0439,2,11350,13085,GA,Dawson,35
H0439,2,11370,13089,GA,DeKalb,296
H0439,2,11400,13097,GA,Douglas,112
H0439,2,11451,13113,GA,Fayette,11
H0439,2,11460,13115,GA,Floyd,199
H0439,2,11461,13117,GA,Forsyth,60
H0439,2,11462,13119,GA,Franklin,68
H0439,2,11470,13121,GA,Fulton,404
H0439,2,11500,13129,GA,Gordon,129
H0439,2,11520,13133,GA,Greene,26
H0439,2,11530,13135,GA,Gwinnett,260
H0439,2,11540,13137,GA,Habersham,172
H0439,2,11550,13139,GA,Hall,292
H0439,2,11591,13151,GA,Henry,55
H0439,2,11610,13157,GA,Jackson,114
H0439,2,11701,13187,GA,Lumpkin,127
H0439,2,11720,13195,GA,Madison,55
H0439,2,11771,13211,GA,Morgan,17
H0439,2,11790,13217,GA,Newton,91
H0439,2,11800,13219,GA,Oconee,12
H0439,2,11801,13221,GA,Oglethorpe,29
H0439,2,11810,13223,GA,Paulding,83
H0439,2,11812,13227,GA,Pickens,27
H0439,2,11830,13233,GA,Polk,119
H0439,2,11841,13247,GA,Rockdale,40
H0439,2,11860,13255,GA,Spalding,93
H0439,2,11861,13257,GA,Stephens,128
H0439,2,11930,13297,GA,Walton,99
H0439,2,11963,13311,GA,White,182
H0439,3,11050,13013,GA,Barrow,32
H0439,3,11060,13015,GA,Bartow,60
H0439,3,11240,13055,GA,Chattooga,20
H0439,3,11250,13057,GA,Cherokee,48
H0439,3,11260,13059,GA,Clarke,33
H0439,3,11280,13063,GA,Clayton,55
H0439,3,11290,13067,GA,Cobb,201
H0439,3,11320,13077,GA,Coweta,17
H0439,3,11370,13089,GA,DeKalb,142
H0439,3,11400,13097,GA,Douglas,46
