fips,county,year,avg_eligibles,avg_enrolled,ssa
13187,Lumpkin,2021,6916.083333333333,2848.25,11701
13189,McDuffie,2021,4903.583333333333,2906.5,11702
13191,McIntosh,2021,3303.75,1693.3333333333333,11703
13193,Macon,2021,2351.25,1442.9166666666667,11710
13195,Madison,2021,6677.833333333333,3242.9166666666665,11720
13197,Marion,2021,1654.0833333333333,861.25,11730
13199,Meriwether,2021,5399.25,3094.5833333333335,11740
13201,Miller,2021,1319.0833333333333,594,11741
13205,Mitchell,2021,4596.833333333333,2426.3333333333335,11750
13207,Monroe,2021,6329.666666666667,3043,11760
13209,Montgomery,2021,1760.25,895.1666666666666,11770
13211,Morgan,2021,4791.916666666667,2361.4166666666665,11771
13213,Murray,2021,7613.166666666667,2795.1666666666665,11772
13215,Muscogee,2021,36139.583333333336,16072.833333333334,11780
13217,Newton,2021,19169.583333333332,10713.166666666666,11790
13219,Oconee,2021,7546.416666666667,2857.4166666666665,11800
13221,Oglethorpe,2021,3364.6666666666665,1610.9166666666667,11801
13223,Paulding,2021,23139.416666666668,11136.083333333334,11810
13225,Peach,2021,5617.25,2461.6666666666665,11811
13227,Pickens,2021,9663.416666666666,3994.3333333333335,11812
13229,Pierce,2021,4175.25,1787.3333333333333,11820
13231,Pike,2021,3686.25,1819.8333333333333,11821
13233,Polk,2021,8909.916666666666,4390.083333333333,11830
13235,Pulaski,2021,2122.25,922.9166666666666,11831
13237,Putnam,2021,6115,2842.3333333333335,11832
13239,Quitman,2021,730.4166666666666,388.0833333333333,11833
13241,Rabun,2021,5398.75,1997.1666666666667,11834
13243,Randolph,2021,1637.4166666666667,893.9166666666666,11835
13245,Richmond,2021,37789.75,18968.666666666668,11840
13247,Rockdale,2021,16316.666666666666,9055.416666666666,11841
13249,Schley,2021,822.25,460.4166666666667,11842
13251,Screven,2021,3448.3333333333335,1862.3333333333333,11850
13253,Seminole,2021,2307.8333333333335,989,11851
13255,Spalding,2021,15442,8226.416666666666,11860
13257,Stephens,2021,6879,3115.5833333333335,11861
13259,Stewart,2021,1074.25,656.6666666666666,11862
13261,Sumter,2021,6216.333333333333,3429.3333333333335,11870
13263,Talbot,2021,1695.1666666666667,938.5,11880
13265,Taliaferro,2021,466.8333333333333,280.5833333333333,11881
13267,Tattnall,2021,4095.5,2050.25,11882
13269,Taylor,2021,1859.1666666666667,995.4166666666666,11883
13271,Telfair,2021,2387.4166666666665,1190.8333333333333,11884
13273,Terrell,2021,2256.25,1258.8333333333333,11885
13275,Thomas,2021,10488.833333333334,4865.166666666667,11890
13277,Tift,2021,7803.333333333333,3796.5,11900
13279,Toombs,2021,5712.166666666667,2853.8333333333335,11901
13281,Towns,2021,5124.083333333333,2124.25,11902
13283,Treutlen,2021,1358.8333333333333,766.25,11903
13285,Troup,2021,13399.666666666666,6486.333333333333,11910
13287,Turner,2021,1959.4166666666667,1184.8333333333333,11911
13289,Twiggs,2021,2413.5,1305.5833333333333,11912
13291,Union,2021,9410.916666666666,3711.8333333333335,11913
13293,Upson,2021,6591.5,3600.6666666666665,11920
13295,Walker,2021,15235.833333333334,6274.083333333333,11921
13297,Walton,2021,18111.416666666668,9048.416666666666,11930
13299,Ware,2021,8057.083333333333,3691.5833333333335,11940
13301,Warren,2021,1482.9166666666667,849.25,11941
13303,Washington,2021,4619.833333333333,2418.9166666666665,11950
13305,Wayne,2021,6112.083333333333,2820.4166666666665,11960
13307,Webster,2021,573.75,302.75,11961
13309,Wheeler,2021,1174.25,596.0833333333334,11962
13311,White,2021,7487.25,3581.5,11963
13313,Whitfield,2021,17622.166666666668,5094.333333333333,11970
13315,Wilcox,2021,1704.4166666666667,833,11971
13317,Wilkes,2021,2719.5,1325.25,11972
13319,Wilkinson,2021,2362.3333333333335,1163.4166666666667,11973
13321,Worth,2021,4219.916666666667,2142.1666666666665,11980
