fips,county,year,avg_eligibles,avg_enrolled,ssa
13001,Appling,2021,3915,1994.1666666666667,11000
13003,Atkinson,2021,1380.0833333333333,727.6666666666666,11010
13005,Bacon,2021,2227.4166666666665,1007.25,11011
13007,Baker,2021,734.8333333333334,418.6666666666667,11020
13009,Baldwin,2021,9141.916666666666,5122.916666666667,11030
13011,Banks,2021,3805.5833333333335,1877.0833333333333,11040
13013,Barrow,2021,13551,6833.666666666667,11050
13015,Bartow,2021,19342.5,9299.166666666666,11060
13017,Ben Hill,2021,3726.6666666666665,2015.1666666666667,11070
13019,Berrien,2021,3815.3333333333335,1665.1666666666667,11080
13021,Bibb,2021,31092.75,15746.666666666666,11090
13023,Bleckley,2021,2579.3333333333335,931.5,11100
13025,Brantley,2021,3568.5833333333335,1594.5,11110
13027,Brooks,2021,3674.3333333333335,1844.0833333333333,11120
13029,Bryan,2021,6245.583333333333,2729,11130
13031,Bulloch,2021,11080,4993.416666666667,11140
13033,Burke,2021,4965.083333333333,2818.25,11150
13035,Butts,2021,4922.333333333333,2733.1666666666665,11160
13037,Calhoun,2021,1190.6666666666667,595.4166666666666,11161
13039,Camden,2021,9484.5,3376.5,11170
13043,Candler,2021,2372.6666666666665,1248.75,11180
13045,Carroll,2021,21686.416666666668,10828,11190
13047,Catoosa,2021,14093.166666666666,5875.083333333333,11200
13049,Charlton,2021,2167.6666666666665,914.3333333333334,11210
13051,Chatham,2021,52313.416666666664,25198.333333333332,11220
13053,Chattahoochee,2021,638,307.75,11230
13055,Chattooga,2021,5860.666666666667,3017.75,11240
13057,Cherokee,2021,45318.083333333336,19513.083333333332,11250
13059,Clarke,2021,17640,7861.083333333333,11260
13061,Clay,2021,787.3333333333334,410.9166666666667,11270
13063,Clayton,2021,37712.416666666664,22698.416666666668,11280
13065,Clinch,2021,1467.8333333333333,714.6666666666666,11281
13067,Cobb,2021,108751.5,47051.833333333336,11290
13069,Coffee,2021,7206.75,3532,11291
13071,Colquitt,2021,9082.333333333334,4229.833333333333,11300
13073,Columbia,2021,25350.833333333332,9459.833333333334,11310
13075,Cook,2021,3596.75,1671.5,11311
13077,Coweta,2021,25274.083333333332,11935.25,11320
13079,Crawford,2021,2724.5,1423,11330
13081,Crisp,2021,4464.666666666667,2364.75,11340
13083,Dade,2021,3771.4166666666665,1639,11341
13085,Dawson,2021,5574.5,2356.6666666666665,11350
13087,Decatur,2021,5791.416666666667,2630.25,11360
13089,DeKalb,2021,107752,58082.5,11370
13091,Dodge,2021,4163.416666666667,1843.75,11380
13093,Dooly,2021,2342,1166.6666666666667,11381
13095,Dougherty,2021,17467.583333333332,9123.166666666666,11390
13097,Douglas,2021,21404.25,11214.25,11400
13099,Early,2021,2385,1142.4166666666667,11410
13101,Echols,2021,553,249.16666666666666,11420
13103,Effingham,2021,9904.666666666666,4621.833333333333,11421
13105,Elbert,2021,5179.083333333333,2546.8333333333335,11430
13107,Emanuel,2021,4913.833333333333,2634.4166666666665,11440
13109,Evans,2021,2164.9166666666665,1134.5,11441
13111,Fannin,2021,8536.666666666666,3264.1666666666665,11450
13113,Fayette,2021,25056.166666666668,10315.666666666666,11451
13115,Floyd,2021,20808.833333333332,9369.666666666666,11460
13117,Forsyth,2021,32051.333333333332,13971.166666666666,11461
13119,Franklin,2021,5531.416666666667,2723.25,11462
13121,Fulton,2021,141613.75,68858.5,11470
13123,Gilmer,2021,8980.083333333334,3397.25,11471
13125,Glascock,2021,583.6666666666666,270.25,11480
13127,Glynn,2021,19713.916666666668,7715.333333333333,11490
13129,Gordon,2021,10938.5,4424.416666666667,11500
13131,Grady,2021,5377.25,2569.3333333333335,11510
13133,Greene,2021,6330.583333333333,2541.1666666666665,11520
13135,Gwinnett,2021,113991.16666666667,57786.666666666664,11530
13137,Habersham,2021,10031,4793.166666666667,11540
13139,Hall,2021,37498.916666666664,15938.5,11550
13141,Hancock,2021,2385.4166666666665,1362.4166666666667,11560
13143,Haralson,2021,6260,3202.25,11570
13145,Harris,2021,7181.75,3006.8333333333335,11580
13147,Hart,2021,6850.916666666667,2996.75,11581
13149,Heard,2021,2315.75,1197.5,11590
13151,Henry,2021,35893.083333333336,19012.333333333332,11591
13153,Houston,2021,26728.666666666668,8954.083333333334,11600
13155,Irwin,2021,2082.0833333333335,956.5833333333334,11601
13157,Jackson,2021,13683,6632.416666666667,11610
13159,Jasper,2021,3099.0833333333335,1598.5833333333333,11611
13161,Jeff Davis,2021,2881.6666666666665,1256.5833333333333,11612
13163,Jefferson,2021,3893.5833333333335,2068.5833333333335,11620
13165,Jenkins,2021,1788.6666666666667,1018.3333333333334,11630
13167,Johnson,2021,1877.75,997,11640
13169,Jones,2021,5962.916666666667,3041.25,11650
13171,Lamar,2021,4063,2132.75,11651
13173,Lanier,2021,1630.0833333333333,652.9166666666666,11652
13175,Laurens,2021,10977.166666666666,5120.916666666667,11660
13177,Lee,2021,5177.916666666667,2191.5,11670
13179,Liberty,2021,8061,3242.0833333333335,11680
13181,Lincoln,2021,2202.1666666666665,1079.25,11690
13183,Long,2021,1911.1666666666667,761,11691
13185,Lowndes,2021,19207.666666666668,6853.416666666667,11700
