fips,county,year,avg_eligibles,avg_enrolled,ssa
13001,Appling,2022,3963.4166666666665,2190,11000
13003,Atkinson,2022,1370.3333333333333,798.5833333333334,11010
13005,Bacon,2022,2209.8333333333335,1090.75,11011
13007,Baker,2022,755.0833333333334,463.8333333333333,11020
13009,Baldwin,2022,9245.833333333334,5504.916666666667,11030
13011,Banks,2022,3916.75,2038.1666666666667,11040
13013,Barrow,2022,13986.416666666666,7437.583333333333,11050
13015,Bartow,2022,19792.083333333332,10180.666666666666,11060
13017,Ben Hill,2022,3749.5833333333335,2202.6666666666665,11070
13019,Berrien,2022,3854.8333333333335,1869.8333333333333,11080
13021,Bibb,2022,31203,16828,11090
13023,Bleckley,2022,2609.25,1028.5,11100
13025,Brantley,2022,3602,1759.5,11110
13027,Brooks,2022,3717.5833333333335,2072.1666666666665,11120
13029,Bryan,2022,6574.833333333333,3035,11130
13031,Bulloch,2022,11340.083333333334,5586.166666666667,11140
13033,Burke,2022,5092,3143.75,11150
13035,Butts,2022,4988.583333333333,2938.75,11160
13037,Calhoun,2022,1207,654.9166666666666,11161
13039,Camden,2022,9907.75,3810.0833333333335,11170
13043,Candler,2022,2385.9166666666665,1355.0833333333333,11180
13045,Carroll,2022,22149.5,11785.166666666666,11190
13047,Catoosa,2022,14243.833333333334,6409.166666666667,11200
13049,Charlton,2022,2218.4166666666665,1018.6666666666666,11210
13051,Chatham,2022,53421.166666666664,27094.666666666668,11220
13053,Chattahoochee,2022,666.1666666666666,351.75,11230
13055,Chattooga,2022,5892.583333333333,3395.8333333333335,11240
13057,Cherokee,2022,47398.083333333336,21200.75,11250
13059,Clarke,2022,17860.916666666668,8574.333333333334,11260
13061,Clay,2022,796.0833333333334,461.5,11270
13063,Clayton,2022,38379.666666666664,24460.833333333332,11280
13065,Clinch,2022,1456.3333333333333,776.6666666666666,11281
13067,Cobb,2022,111213,50668.25,11290
13069,Coffee,2022,7245.166666666667,3941.25,11291
13071,Colquitt,2022,9099.416666666666,4710.25,11300
13073,Columbia,2022,26337.666666666668,10476.166666666666,11310
13075,Cook,2022,3620.9166666666665,1854.75,11311
13077,Coweta,2022,26135.666666666668,12992.75,11320
13079,Crawford,2022,2734.5,1506.9166666666667,11330
13081,Crisp,2022,4499.25,2586.25,11340
13083,Dade,2022,3817.6666666666665,1777.6666666666667,11341
13085,Dawson,2022,5866,2667.8333333333335,11350
13087,Decatur,2022,5836.666666666667,2999.5833333333335,11360
13089,DeKalb,2022,109529.33333333333,61715.583333333336,11370
13091,Dodge,2022,4250,2082.3333333333335,11380
13093,Dooly,2022,2340.75,1270.0833333333333,11381
13095,Dougherty,2022,17510,9855.916666666666,11390
13097,Douglas,2022,21765.166666666668,12222.916666666666,11400
13099,Early,2022,2382.9166666666665,1246.75,11410
13101,Echols,2022,575.0833333333334,274.5833333333333,11420
13103,Effingham,2022,10336.166666666666,5139.5,11421
13105,Elbert,2022,5228,2782.4166666666665,11430
13107,Emanuel,2022,4983,2863.4166666666665,11440
13109,Evans,2022,2188.5833333333335,1226.1666666666667,11441
13111,Fannin,2022,8602.416666666666,3542.0833333333335,11450
13113,Fayette,2022,25939.666666666668,11327.166666666666,11451
13115,Floyd,2022,21007.333333333332,10399,11460
13117,Forsyth,2022,33179.583333333336,14997.083333333334,11461
13119,Franklin,2022,5617.75,2979.25,11462
13121,Fulton,2022,144055.08333333334,73049.58333333333,11470
13123,Gilmer,2022,9122.75,3699,11471
13125,Glascock,2022,598.6666666666666,308.9166666666667,11480
13127,Glynn,2022,20183.583333333332,8342.5,11490
13129,Gordon,2022,11100.333333333334,5043.25,11500
13131,Grady,2022,5426.833333333333,2872.3333333333335,11510
13133,Greene,2022,6612,2797,11520
13135,Gwinnett,2022,117847.5,62877.833333333336,11530
13137,Habersham,2022,10228.916666666666,5141.666666666667,11540
13139,Hall,2022,38632,17374.166666666668,11550
13141,Hancock,2022,2403.4166666666665,1458.9166666666667,11560
13143,Haralson,2022,6344.5,3529,11570
13145,Harris,2022,7418.333333333333,3344.8333333333335,11580
13147,Hart,2022,6966.333333333333,3372.8333333333335,11581
13149,Heard,2022,2345.5,1338,11590
13151,Henry,2022,36855.583333333336,20716.166666666668,11591
13153,Houston,2022,27553.25,10095.666666666666,11600
13155,Irwin,2022,2093.25,1061.75,11601
13157,Jackson,2022,14343.333333333334,7395.083333333333,11610
13159,Jasper,2022,3160.4166666666665,1769.25,11611
13161,Jeff Davis,2022,2886.0833333333335,1390.0833333333333,11612
13163,Jefferson,2022,3939.8333333333335,2275.8333333333335,11620
13165,Jenkins,2022,1797.6666666666667,1103.3333333333333,11630
13167,Johnson,2022,1912.8333333333333,1110.0833333333333,11640
13169,Jones,2022,5971.25,3216.9166666666665,11650
13171,Lamar,2022,4200.75,2390.5,11651
13173,Lanier,2022,1685.5833333333333,785.1666666666666,11652
13175,Laurens,2022,10993.75,5549.583333333333,11660
13177,Lee,2022,5369.75,2549.8333333333335,11670
13179,Liberty,2022,8375.666666666666,3736.25,11680
13181,Lincoln,2022,2266.25,1186.4166666666667,11690
13183,Long,2022,2003.6666666666667,898.6666666666666,11691
13185,Lowndes,2022,19713.5,7815.25,11700
13187,Lumpkin,2022,7142,3191.4166666666665,11701
