provider_number,state,price,mcare_discharges,year,hrrp_payment,beds,tot_mcare_payment,uncomp_care,state_name,expanded,date_adopted
010024,AL,6366.789933145479,4253.274223034735,2010,0,255,36346725.122486286,28365351.632541135,Alabama,FALSE,NA
010024,AL,7808.314773979536,5193,2011,NA,255,46556957,NA,Alabama,FALSE,NA
010024,AL,6012.646935012935,4949,2012,14982,255,43667230,NA,Alabama,FALSE,NA
010024,AL,6537.072428532623,4575,2013,55966,255,45612716,NA,Alabama,FALSE,NA
010024,AL,5608.297659350935,4653,2014,56268,255,45826313,NA,Alabama,FALSE,NA
010024,AL,7958.622662236436,4868,2015,180760,255,46781271,NA,Alabama,FALSE,NA
010025,AL,3301.0029575238514,1414,2010,NA,84,10277379,NA,Alabama,FALSE,NA
010025,AL,3717.1650179075523,1331,2011,NA,84,9632935,249899,Alabama,FALSE,NA
010025,AL,3637.6779296573814,1205,2012,NA,84,8765757,9152701,Alabama,FALSE,NA
010025,AL,1752.5626293324897,1107,2013,15619,84,8911213,7635288,Alabama,FALSE,NA
010025,AL,1919.3093537700056,582,2014,6715,84,4472534,4211378,Alabama,FALSE,NA
010029,AL,4372.2492772424175,5630,2010,NA,266,53028066,NA,Alabama,FALSE,NA
010029,AL,3727.981145709176,5836,2011,NA,264,55805292,37173748,Alabama,FALSE,NA
010029,AL,3703.616494352399,5435,2012,NA,258,54088392,38134952,Alabama,FALSE,NA
010029,AL,4168.7900071669565,5077,2013,NA,262,52294274,55785765,Alabama,FALSE,NA
010029,AL,3913.6703857905577,5735,2014,NA,266,53789854,61999639,Alabama,FALSE,NA
010029,AL,4971.471425377301,6163,2015,NA,332,57897711,48239911,Alabama,FALSE,NA
010033,AL,21454.50676262137,10450,2010,NA,953,201673775,295281688,Alabama,FALSE,NA
010033,AL,22072.237175256476,12318,2011,NA,992,216259125,164148175,Alabama,FALSE,NA
010033,AL,24025.932186438753,12027,2012,NA,997,213845274,450539999,Alabama,FALSE,NA
010033,AL,24031.88658863178,12020,2013,NA,971,234390732,NA,Alabama,FALSE,NA
010033,AL,23922.140022517237,11273,2014,308823,991,238542862,NA,Alabama,FALSE,NA
010033,AL,18926.466738416206,12386,2015,828476,1017,252662941,NA,Alabama,FALSE,NA
010034,AL,3202.545476119093,822,2010,NA,37,4985731,NA,Alabama,FALSE,NA
010034,AL,3105.587643570088,702,2011,NA,37,4399419,NA,Alabama,FALSE,NA
010034,AL,3341.798221931212,701,2012,NA,37,4562094,NA,Alabama,FALSE,NA
010034,AL,4477.015916802665,608,2013,1336,37,3938858,NA,Alabama,FALSE,NA
010034,AL,4180.298125345942,639,2014,19881,37,4210326,NA,Alabama,FALSE,NA
010034,AL,5037.400038673375,492,2015,2027,37,3025475,NA,Alabama,FALSE,NA
010035,AL,4585.073183642096,3143,2010,NA,115,25488347,26116772,Alabama,FALSE,NA
010035,AL,4324.278009073496,3102,2011,NA,115,25893202,NA,Alabama,FALSE,NA
010035,AL,4026.7716465005965,3102,2012,NA,115,24551326,NA,Alabama,FALSE,NA
010035,AL,2416.3810425486267,2973,2013,4761,115,28519290,NA,Alabama,FALSE,NA
010035,AL,3480.1213328704903,2874,2014,24484,115,26830189,NA,Alabama,FALSE,NA
010035,AL,3291.2905593839046,3134,2015,151289,115,29002635,NA,Alabama,FALSE,NA
010036,AL,4129.756509868261,1650,2010,NA,88,10566718,NA,Alabama,FALSE,NA
010036,AL,5300.797226084747,1672,2011,NA,88,10072573,7424541,Alabama,FALSE,NA
010036,AL,5217.56438979458,1395,2012,NA,88,9249559,NA,Alabama,FALSE,NA
010036,AL,2158.896807462482,1383,2013,23147,88,9289444,NA,Alabama,FALSE,NA
010036,AL,3758.8790298954123,1417,2015,11127,88,9228611,NA,Alabama,FALSE,NA
010038,AL,6489.927721410477,2356,2011,NA,125,15721420,51769505,Alabama,FALSE,NA
010038,AL,6137.50977071751,2092,2012,NA,125,14330120,29396448,Alabama,FALSE,NA
010038,AL,2221.782752800908,1707,2013,5113,125,11766974,43959787,Alabama,FALSE,NA
010038,AL,1736.4585527459267,1404,2014,10636,125,10102853,38994161,Alabama,FALSE,NA
010038,AL,4637.356197020335,1450,2015,54715,125,10007785,NA,Alabama,FALSE,NA
010039,AL,7314.506842133569,15819,2010,NA,780,160623130,225556028,Alabama,FALSE,NA
010039,AL,6244.672099091222,14631,2011,NA,782,169317302,NA,Alabama,FALSE,NA
010039,AL,6750.399589058166,14528,2012,NA,807,169933830,283974511,Alabama,FALSE,NA
010039,AL,6404.123207492963,14577,2013,NA,839,170484630,318524355,Alabama,FALSE,NA
010039,AL,6201.448515813403,14846,2014,NA,839,174674456,311593907,Alabama,FALSE,NA
010039,AL,7037.20500804098,15555,2015,21350,851,179053577,312886931,Alabama,FALSE,NA
010040,AL,9721.849275892508,3444,2010,NA,265,34090568,64353333,Alabama,FALSE,NA
010040,AL,12497.677440562407,4619,2011,NA,265,42311958,NA,Alabama,FALSE,NA
010040,AL,13567.397956109948,4921,2012,NA,267,46648217,NA,Alabama,FALSE,NA
010040,AL,11011.880098143096,4980,2013,216774,261,51043393,115705972,Alabama,FALSE,NA
010040,AL,10620.504489339368,5158,2014,183506,238,49505719,124400715,Alabama,FALSE,NA
010040,AL,9628.463880775922,5271,2015,444886,231,48974197,112440384,Alabama,FALSE,NA
010044,AL,6138.761129316745,549,2010,NA,36,2774126,4637825,Alabama,FALSE,NA
010044,AL,6894.628053364636,502,2011,NA,36,2442288,NA,Alabama,FALSE,NA
010044,AL,6716.200132814212,436,2012,NA,36,2118233,NA,Alabama,FALSE,NA
010044,AL,6924.697446102865,442,2013,18681,36,2479620,NA,Alabama,FALSE,NA
010044,AL,17055.464595109475,185,2014,179,36,1098399,NA,Alabama,FALSE,NA
010046,AL,10870.359685003914,4102,2011,NA,256,31182664,42607291,Alabama,FALSE,NA
010046,AL,11514.188523770332,3616,2012,NA,256,30259371,44425593,Alabama,FALSE,NA
010046,AL,6091.115796167317,3049,2013,119016,256,27840082,62619234,Alabama,FALSE,NA
010046,AL,7122.938912592532,2871,2014,190759,256,26010185,NA,Alabama,FALSE,NA
010046,AL,6794.1873818554795,2370.014625228519,2015,218401.65813528336,256,20025692.608775135,NA,Alabama,FALSE,NA
010049,AL,4158.833307221761,1747,2010,NA,131,9609700,16015956,Alabama,FALSE,NA
010049,AL,4258.1112958033145,1514,2011,NA,131,8659685,14964227,Alabama,FALSE,NA
010049,AL,4224.018826957614,1449,2012,5041,131,8489923,10884841,Alabama,FALSE,NA
010049,AL,5337.727889677991,1184,2013,19103,117,7680403,16496849,Alabama,FALSE,NA
010049,AL,4381.88771237302,1091,2014,20342,117,7114188,18158124,Alabama,FALSE,NA
010049,AL,2641.8428184784775,967,2015,40456,117,6693203,17041941,Alabama,FALSE,NA
010050,AL,1914.156624850232,122,2010,NA,40,3938669,4951740,Alabama,FALSE,NA
010050,AL,3438.267568199044,531,2011,NA,40,3031714,NA,Alabama,FALSE,NA
010050,AL,1860.6773336617453,476,2012,NA,40,2743620,NA,Alabama,FALSE,NA
010050,AL,1849.617723279457,411,2013,NA,40,2373793,NA,Alabama,FALSE,NA
010054,AL,4102.032932952042,1705,2010,NA,109,10220434,NA,Alabama,FALSE,NA
010054,AL,4603.394871942719,1269.3144424131629,2011,0,109,8185621.712979891,NA,Alabama,FALSE,NA
010054,AL,3778.840072957912,1228,2012,NA,120,8726284,NA,Alabama,FALSE,NA
010055,AL,8236.975785078996,5071,2010,NA,235,42299272,34184689,Alabama,FALSE,NA
010055,AL,8393.419810957974,5090,2011,NA,235,43217724,NA,Alabama,FALSE,NA
010055,AL,8751.731764235228,5230,2012,NA,235,43749136,45163841,Alabama,FALSE,NA
010055,AL,8112.030245669448,4885,2013,11133,234,42912801,44076722,Alabama,FALSE,NA
010055,AL,8197.624407337422,3869.8,2014,7272.4,235,33624309.2,27768112.8,Alabama,FALSE,NA
010055,AL,8096.278144080634,4737,2015,70451,235,44116020,25569441,Alabama,FALSE,NA
010056,AL,8411.044023559523,6891,2010,NA,404,59927003,33146527,Alabama,FALSE,NA
010056,AL,8557.07183698384,7237,2011,NA,426,63243369,NA,Alabama,FALSE,NA
010056,AL,8040.399099151324,6698,2012,NA,442,65082394,NA,Alabama,FALSE,NA
010056,AL,7116.986604997822,6197,2013,125662,442,62787522,NA,Alabama,FALSE,NA
010056,AL,6736.3819329535845,6041,2014,139505,442,60086891,NA,Alabama,FALSE,NA
010056,AL,7076.93735932706,6185,2015,673063,442,60148149,NA,Alabama,FALSE,NA
010059,AL,1810.3919543685533,1016,2010,NA,37,6431268,5092326,Alabama,FALSE,NA
010059,AL,1788.371836810224,825,2011,NA,37,5387124,NA,Alabama,FALSE,NA
010059,AL,1432.0071460519316,677,2012,NA,37,4344151,NA,Alabama,FALSE,NA
010059,AL,1427.8350933224958,542,2013,29968,43,3589897,NA,Alabama,FALSE,NA
010059,AL,1134.5468609056347,485,2014,5553,43,3256213,NA,Alabama,FALSE,NA
010059,AL,602.3120522512627,402,2015,7076,43,2505050,NA,Alabama,FALSE,NA
010061,AL,2680.9885620717246,2022,2010,NA,170,10954630,NA,Alabama,FALSE,NA
010061,AL,2345.6347430433607,1814,2011,NA,170,10324259,NA,Alabama,FALSE,NA
010061,AL,2288.55899755597,1663,2012,NA,170,9223908,NA,Alabama,FALSE,NA
010061,AL,2131.1707950887658,1859,2013,55489,170,10118835,NA,Alabama,FALSE,NA
010061,AL,2029.013512057012,1549,2014,41875,170,10121445,NA,Alabama,FALSE,NA
010061,AL,2309.780388029501,1063,2015,62633,170,10006456,NA,Alabama,FALSE,NA
010062,AL,2450.3324463307285,875,2010,NA,73,4716288,3821063,Alabama,FALSE,NA
010062,AL,3033.9839812532086,837,2011,NA,73,4463224,NA,Alabama,FALSE,NA
010062,AL,3458.6147458622995,684,2012,NA,73,3740632,NA,Alabama,FALSE,NA
010062,AL,3518.6013551216183,654,2013,NA,73,3382507,NA,Alabama,FALSE,NA
010062,AL,2651.017638222,587,2014,6467,73,3027754,NA,Alabama,FALSE,NA
010062,AL,3224.184256362009,598,2015,NA,73,3287405,NA,Alabama,FALSE,NA
010065,AL,3221.0159701275365,1555,2010,NA,75,12047838,1400652,Alabama,FALSE,NA
010065,AL,2376.179580111365,734,2011,NA,75,12870944,NA,Alabama,FALSE,NA
010065,AL,3307.6588021545413,1586,2012,NA,75,13437427,NA,Alabama,FALSE,NA
010065,AL,3648.8715729384044,1586,2013,13847,75,13342987,NA,Alabama,FALSE,NA
010065,AL,4321.211103523528,1492,2014,16837,75,12523328,NA,Alabama,FALSE,NA
010065,AL,3558.121212961052,1649,2015,38410,75,12553194,NA,Alabama,FALSE,NA
